emp_no,first_name,last_name,birth_date,from_date,to_date,title
10656,Sanjay,Litzkow,1962-06-18,1988-06-21,9999-01-01,Senior Engineer
10670,Shunichi,McAffer,1962-04-23,1988-03-23,9999-01-01,Staff
10686,Avishai,Azadmanesh,1963-05-25,1987-05-17,9999-01-01,Senior Engineer
10688,Xiaopeng,Lanphier,1964-02-28,1986-04-13,9999-01-01,Senior Staff
10699,Hatim,Deverell,1964-02-02,1985-11-17,9999-01-01,Engineer
10716,Aiman,Constantine,1963-10-08,1987-08-12,9999-01-01,Engineer
10735,Morrie,Gewali,1964-09-12,1985-10-29,9999-01-01,Senior Staff
10738,Rosita,Oppitz,1963-10-08,1992-01-06,9999-01-01,Technique Leader
10743,Kiyomitsu,Peltason,1963-12-26,1999-11-05,9999-01-01,Staff
10758,Fumiyo,Boyle,1962-11-26,1999-07-01,9999-01-01,Engineer
10763,Giap,Bolsens,1962-04-15,1987-02-23,9999-01-01,Engineer
10769,Vishv,Bouloucos,1962-11-02,1991-08-30,9999-01-01,Technique Leader
10789,Aruna,Journel,1964-05-19,1998-01-26,9999-01-01,Staff
10807,Munehiro,Zallocco,1964-06-23,1999-10-19,9999-01-01,Senior Staff
10809,Shim,Feldhoffer,1962-01-06,1988-02-25,9999-01-01,Engineer
10832,Hidde,Bergere,1964-08-29,1986-10-11,9999-01-01,Senior Staff
10863,Byong,Bhattacharjee,1962-08-05,1985-12-25,9999-01-01,Engineer
10877,Subir,Biron,1964-09-11,1986-06-06,9999-01-01,Senior Staff
10880,Weiye,Nitsche,1962-02-11,1992-01-11,9999-01-01,Engineer
10890,Ramzi,Furudate,1963-04-13,1990-03-10,9999-01-01,Senior Staff
10907,JiYoung,Luks,1963-09-26,1988-12-25,9999-01-01,Senior Staff
10937,Anyuan,Nanard,1964-09-11,1991-05-03,9999-01-01,Senior Engineer
10975,Peternela,Birnbaum,1962-07-27,1997-01-14,9999-01-01,Senior Engineer
10978,Huiqun,Bellone,1962-09-24,1985-05-18,9999-01-01,Senior Engineer
11010,Jaques,Narwekar,1963-03-20,1986-12-18,9999-01-01,Senior Staff
11022,Apostol,Pintelas,1964-02-02,1993-10-18,9999-01-01,Senior Staff
11036,Muzhong,Greenaway,1962-09-04,1988-10-24,9999-01-01,Senior Staff
11041,Stamatina,Matheson,1964-01-12,1998-01-29,9999-01-01,Senior Engineer
11058,Shigeaki,Cyre,1962-04-24,1985-06-07,9999-01-01,Senior Staff
11059,Shawna,Jarecki,1962-05-26,1986-11-17,9999-01-01,Engineer
11096,Shugo,Zallocco,1962-02-21,1994-06-08,9999-01-01,Senior Engineer
11109,Chinho,Stamatiou,1964-11-05,1985-03-29,9999-01-01,Staff
11136,Gladys,Luiz,1964-06-01,1990-12-06,9999-01-01,Senior Engineer
11142,Moheb,Raney,1964-11-19,1993-11-04,9999-01-01,Engineer
11149,Domenico,Imataki,1964-06-28,1987-08-26,9999-01-01,Staff
11182,Tze,Steinauer,1962-10-29,1994-12-06,9999-01-01,Engineer
11198,Leif,Gini,1963-05-12,1988-02-07,9999-01-01,Staff
11200,Renny,Junet,1964-06-05,1995-04-08,9999-01-01,Technique Leader
11202,Marek,Ranon,1964-11-01,1996-02-26,9999-01-01,Senior Staff
11235,Larisa,Schueller,1964-11-13,1998-11-09,9999-01-01,Senior Engineer
11238,Kwan,Chenoweth,1962-12-28,1999-02-14,9999-01-01,Senior Engineer
11261,Claudi,Demri,1963-09-05,1987-12-06,9999-01-01,Engineer
11264,Uma,Oehlmann,1964-03-15,1986-10-09,9999-01-01,Engineer
11270,Gina,Falster,1962-10-10,1989-09-04,9999-01-01,Senior Staff
11283,Shmuel,Codenie,1964-02-25,1987-06-30,9999-01-01,Staff
11286,Joydip,Gini,1964-12-04,1988-02-16,9999-01-01,Senior Staff
11287,Sreenivas,Farrag,1963-08-16,1987-08-12,9999-01-01,Senior Staff
11307,Mohd,Dratva,1963-11-08,1995-04-30,9999-01-01,Senior Staff
11313,Paraskevi,Kusalik,1962-06-21,1986-02-28,9999-01-01,Senior Staff
11318,Gopalakrishnan,Unno,1964-09-09,1986-01-25,9999-01-01,Senior Staff
11345,Youngkon,Maierhofer,1964-08-11,1998-11-25,9999-01-01,Engineer
11346,Jungsoon,Fiebach,1962-04-25,1992-06-11,9999-01-01,Senior Staff
11348,Vishu,Kroll,1962-04-26,1991-10-02,9999-01-01,Staff
11361,Zhonghui,Birdsall,1962-12-07,1997-01-31,9999-01-01,Senior Engineer
11362,Tooru,Hockney,1963-11-24,1987-10-29,9999-01-01,Senior Engineer
11363,Jenwei,Milicia,1962-04-27,1986-03-16,9999-01-01,Staff
11394,Masadi,Uhrik,1964-01-02,1988-12-20,9999-01-01,Staff
11412,Werner,Demeyer,1963-02-25,1996-02-02,9999-01-01,Staff
11435,Utpal,Lichtman,1962-05-29,1986-10-15,9999-01-01,Staff
11440,Lubomir,Jahnichen,1964-12-07,1994-03-03,9999-01-01,Engineer
11466,Naftali,Koshino,1964-01-04,1989-07-02,9999-01-01,Engineer
11486,Itzchak,Ramaiah,1963-03-05,1985-05-31,9999-01-01,Staff
11488,Houman,Veldwijk,1962-11-18,1987-08-25,9999-01-01,Engineer
11489,Sandeepan,Yeung,1962-11-12,1991-03-24,9999-01-01,Senior Staff
11496,Toshimo,Marakhovsky,1963-08-20,1992-07-09,9999-01-01,Assistant Engineer
11505,Shietung,Billingsley,1963-11-15,1996-11-15,9999-01-01,Senior Engineer
11512,Nidapan,Hagimont,1962-09-24,1987-09-01,9999-01-01,Engineer
11514,Georgy,Iwayama,1963-08-17,1990-05-14,9999-01-01,Engineer
11545,Bartek,Lieblein,1962-08-01,1986-09-19,9999-01-01,Senior Engineer
11546,Duro,Vuskovic,1964-12-22,1987-06-30,9999-01-01,Senior Staff
11551,Subhrajyoti,Gonthier,1962-08-28,1986-05-09,9999-01-01,Senior Engineer
11565,Yoshinari,Sankaranarayanan,1963-09-02,1988-02-03,9999-01-01,Engineer
11579,Jinxi,Merel,1962-06-01,1997-05-25,9999-01-01,Staff
11610,Eirik,Sidhu,1962-07-17,1985-10-18,9999-01-01,Senior Engineer
11629,Miquel,Muhlberg,1963-12-05,1994-12-16,9999-01-01,Staff
11638,JoAnne,Falco,1964-04-28,1996-01-17,9999-01-01,Engineer
11639,Khatoun,Herath,1964-05-02,1987-02-18,9999-01-01,Engineer
11655,Gift,Broomell,1963-10-28,1991-09-23,9999-01-01,Senior Engineer
11662,Mokhtar,Hofting,1963-04-25,1991-02-16,9999-01-01,Senior Staff
11670,Evgueni,Kroon,1964-09-25,1985-05-17,9999-01-01,Senior Staff
11682,Dante,Zumaque,1963-03-13,1986-11-27,9999-01-01,Staff
11687,Owen,Peak,1963-02-28,1992-03-22,9999-01-01,Senior Engineer
11707,Tooru,Hettesheimer,1964-07-18,1994-04-07,9999-01-01,Senior Engineer
11716,Anneli,Leijenhorst,1962-01-24,1989-05-09,9999-01-01,Engineer
11740,Isaac,Pero,1962-05-21,1990-01-19,9999-01-01,Staff
11745,Janche,Bahi,1964-07-03,1999-12-12,9999-01-01,Staff
11753,Fayez,Nishimukai,1963-12-07,1991-05-01,9999-01-01,Staff
11757,Jackson,Meriste,1964-05-22,1987-04-07,9999-01-01,Senior Engineer
11759,Feixiong,Cincotta,1962-02-01,1996-12-01,9999-01-01,Assistant Engineer
11766,Nimmagadda,Berztiss,1964-10-10,1987-10-27,9999-01-01,Engineer
11768,Krassimir,Erol,1964-06-09,1991-04-25,9999-01-01,Assistant Engineer
11775,Sajjad,Xiaoshan,1963-06-16,1988-11-15,9999-01-01,Senior Engineer
11780,Sugwoo,Sewelson,1963-05-04,1999-11-10,9999-01-01,Senior Engineer
11781,Tua,Pluym,1964-11-29,1997-12-04,9999-01-01,Staff
11788,Georgy,Gopalakrishnan,1962-04-11,1999-02-12,9999-01-01,Technique Leader
11794,Atreye,Ghandeharizadeh,1964-10-25,1992-09-04,9999-01-01,Engineer
11798,Kwan,Quaggetto,1964-08-14,1987-12-10,9999-01-01,Staff
11799,Duro,Silva,1964-03-25,1996-03-06,9999-01-01,Assistant Engineer
11808,Morrie,Rosiles,1962-09-03,1986-05-17,9999-01-01,Engineer
11815,Akemi,Sommen,1963-04-09,1995-05-03,9999-01-01,Technique Leader
11826,Carrsten,Rotem,1964-02-20,1988-07-06,9999-01-01,Engineer
11833,Yolla,Levasseur,1963-11-03,1999-07-15,9999-01-01,Staff
11839,Navid,Falck,1962-10-24,1990-12-14,9999-01-01,Senior Engineer
11840,Jayson,Hofman,1962-07-27,1986-12-21,9999-01-01,Senior Staff
11858,Slavian,Baik,1962-11-21,1996-08-15,9999-01-01,Staff
11863,Stella,Peng,1962-07-03,1988-12-16,9999-01-01,Engineer
11898,Jinya,Piveteau,1964-10-29,1996-12-01,9999-01-01,Engineer
11912,Kristian,Giaccio,1964-08-15,1994-10-06,9999-01-01,Senior Engineer
11953,Moheb,Baar,1962-09-23,1996-03-21,9999-01-01,Staff
11955,Domenico,Eastman,1964-10-17,1995-04-25,9999-01-01,Senior Engineer
11990,Chanjung,Matheson,1964-11-24,1988-09-05,9999-01-01,Engineer
12004,Lucien,Schlenzig,1962-02-11,1997-01-11,9999-01-01,Technique Leader
12014,Apostol,Lunt,1962-04-30,1988-10-11,9999-01-01,Engineer
12019,Mads,Ossenbruggen,1962-09-05,1986-02-17,9999-01-01,Staff
12027,Zhanqiu,Vuskovic,1962-07-31,1992-01-05,9999-01-01,Technique Leader
12031,Achilleas,Vendrig,1962-01-11,1987-02-10,9999-01-01,Senior Engineer
12039,Kazuhide,Junet,1964-12-03,1988-04-04,9999-01-01,Senior Staff
12056,Nirmal,Genther,1962-09-27,1988-06-02,9999-01-01,Senior Engineer
12057,Vishv,Speckmann,1962-08-14,1990-09-22,9999-01-01,Senior Staff
12064,Heping,Silva,1962-01-22,1986-03-14,9999-01-01,Senior Engineer
12065,Moto,Roohalamini,1964-04-10,1987-06-18,9999-01-01,Senior Engineer
12066,Junichi,Deville,1963-06-01,1985-09-20,9999-01-01,Senior Staff
12067,Doowon,Kalsbeek,1962-04-19,1991-12-17,9999-01-01,Staff
12085,Hugh,Rouquie,1964-04-01,1986-07-03,9999-01-01,Staff
12121,Gadiel,Vendrig,1963-05-13,1990-06-04,9999-01-01,Senior Engineer
12124,Jingling,Schaaf,1964-08-01,1989-07-14,9999-01-01,Senior Staff
12139,Guangming,Senzako,1964-10-31,1994-03-07,9999-01-01,Senior Engineer
12169,Arnd,Broomell,1964-11-30,1994-11-29,9999-01-01,Staff
12199,Huan,Poupard,1962-11-04,1985-06-22,9999-01-01,Senior Staff
12208,Bartek,Passino,1962-02-20,2000-08-24,9999-01-01,Senior Staff
12224,Nikolaus,Lenart,1962-06-09,1995-01-27,9999-01-01,Staff
12225,Yongqiao,Narahara,1964-07-10,1999-01-27,9999-01-01,Staff
12243,Lihong,Leivant,1962-11-04,1994-04-15,9999-01-01,Engineer
12245,Christ,Baba,1964-10-31,1998-11-27,9999-01-01,Engineer
12279,Renee,Brookman,1962-06-30,2001-03-20,9999-01-01,Senior Engineer
12301,Oksana,Akazan,1962-02-27,1996-03-31,9999-01-01,Senior Staff
12302,Matt,Plessier,1962-02-14,1987-01-28,9999-01-01,Senior Staff
12307,Sarita,Schlumberger,1964-09-15,1985-02-23,9999-01-01,Senior Engineer
12315,Haldun,Binding,1963-01-13,1989-08-31,9999-01-01,Senior Staff
12324,Fun,Delgrange,1963-01-14,1990-05-25,9999-01-01,Senior Engineer
12383,Lenore,Pews,1963-01-22,1995-03-02,9999-01-01,Senior Engineer
12404,Manu,Kulisch,1964-11-16,1985-12-14,9999-01-01,Senior Engineer
12410,Masanao,Besselaar,1963-08-15,1988-04-28,9999-01-01,Technique Leader
12430,Kristine,Feldmann,1962-03-28,1993-01-30,9999-01-01,Senior Staff
12444,Monique,Reinhard,1962-11-29,1987-08-16,9999-01-01,Staff
12446,Xiaoqiang,Keustermans,1964-01-05,1987-11-06,9999-01-01,Senior Staff
12461,Tesuro,Silva,1964-06-01,1998-08-15,9999-01-01,Senior Engineer
12462,Zhenhua,Schmittgen,1962-05-02,1999-11-23,9999-01-01,Staff
12472,Leah,Madeira,1962-07-19,1985-12-10,9999-01-01,Engineer
12481,Ipke,Uludag,1963-07-09,1985-05-11,9999-01-01,Senior Engineer
12519,Suebskul,Ghazalie,1963-08-04,1999-09-28,9999-01-01,Engineer
12535,Kazuhiko,Bergere,1964-11-04,1991-02-22,9999-01-01,Technique Leader
12544,Kankanahalli,Hartvigsen,1964-10-13,1995-04-09,9999-01-01,Engineer
12546,Luisa,Shobatake,1964-03-10,1988-06-05,9999-01-01,Senior Staff
12572,Sungwon,McConalogue,1964-05-03,1995-11-23,9999-01-01,Engineer
12578,Tamiya,Perin,1964-01-22,1986-07-28,9999-01-01,Staff
12604,Minghong,Conti,1962-07-25,1990-10-13,9999-01-01,Senior Staff
12605,Petter,Feldmann,1964-10-26,1990-02-19,9999-01-01,Senior Staff
12649,Odinaldo,Luon,1962-08-22,1985-10-05,9999-01-01,Staff
12661,Berry,Lung,1962-03-04,1993-12-12,9999-01-01,Engineer
12669,Caolyn,Roisin,1962-02-09,1987-05-30,9999-01-01,Senior Staff
12675,Dekang,Krohm,1963-04-22,1987-11-20,9999-01-01,Staff
12711,Yechiam,Jiafu,1964-08-12,1986-11-21,9999-01-01,Senior Staff
12738,Luigi,Hammerschmidt,1962-09-10,1985-09-23,9999-01-01,Engineer
12771,Erez,Luks,1964-02-06,1988-06-02,9999-01-01,Senior Staff
12780,Premal,Puppo,1963-01-24,1987-10-21,9999-01-01,Technique Leader
12783,Mahendra,Ginneken,1962-02-02,1985-11-13,9999-01-01,Senior Engineer
12804,Marlo,Rosti,1962-03-20,1987-02-15,9999-01-01,Senior Staff
12806,Mayuri,Ramamoorthy,1963-12-04,1999-03-28,9999-01-01,Staff
12813,Mack,Schmittgen,1963-06-02,1993-10-16,9999-01-01,Engineer
12817,Bokyung,Rosti,1962-06-17,1985-12-24,9999-01-01,Senior Engineer
12823,Pranav,Lanteri,1962-08-15,1985-05-11,9999-01-01,Senior Engineer
12832,Mabo,Cusworth,1962-10-24,1988-04-25,9999-01-01,Senior Staff
12833,Jaideep,Tibblin,1962-02-01,1987-06-04,9999-01-01,Senior Engineer
12838,Danel,Avouris,1962-12-18,1986-09-24,9999-01-01,Senior Staff
12842,Steen,Stellhorn,1963-04-15,1992-09-11,9999-01-01,Engineer
12884,Paddy,Zyda,1964-09-28,1988-11-09,9999-01-01,Engineer
12896,Mircea,Delgrande,1963-10-12,1986-10-29,9999-01-01,Senior Engineer
12920,Tetsushi,Legleitner,1964-05-06,1998-11-23,9999-01-01,Senior Engineer
12942,Maia,Dalphin,1964-11-09,1995-08-17,9999-01-01,Senior Engineer
12943,Kazuhide,Zucker,1963-01-21,1988-12-15,9999-01-01,Senior Staff
12954,Dinkar,Walston,1964-11-10,1986-05-08,9999-01-01,Staff
12963,Kyoichi,Azevdeo,1962-11-22,1987-06-09,9999-01-01,Staff
12980,Jayson,Delgrange,1962-10-09,1988-02-05,9999-01-01,Engineer
12988,Christoph,Lanzelotte,1962-12-02,1999-04-27,9999-01-01,Engineer
12990,Kristina,Benaini,1964-06-08,1985-07-12,9999-01-01,Engineer
12993,Subhash,Sessa,1962-01-27,1986-08-25,9999-01-01,Senior Staff
13014,Gianluca,Budinsky,1962-06-01,1986-01-21,9999-01-01,Engineer
13018,Toshimi,Moehrke,1964-03-14,1987-05-10,9999-01-01,Senior Staff
13020,Shigeichiro,Suppi,1962-06-26,1987-07-06,9999-01-01,Staff
13026,Gina,Itschner,1963-07-07,1995-05-23,9999-01-01,Assistant Engineer
13028,Mayumi,Siksek,1963-08-21,1985-10-28,9999-01-01,Senior Staff
13032,Mohit,Standera,1962-12-12,1987-06-10,9999-01-01,Senior Staff
13039,Alain,Akazan,1963-08-27,1985-10-29,9999-01-01,Senior Engineer
13041,Kazuhide,Zucker,1963-10-10,1996-09-17,9999-01-01,Staff
13053,Randy,Carrera,1962-04-22,1996-10-16,9999-01-01,Staff
13094,Sanjay,Servieres,1964-12-19,1998-11-19,9999-01-01,Engineer
13100,Guenter,Roison,1964-04-19,1991-01-22,9999-01-01,Engineer
13114,Nikolaus,Bressoud,1964-06-28,1994-10-13,9999-01-01,Staff
13116,Constantino,Sury,1963-01-29,1987-10-25,9999-01-01,Staff
13123,Hatem,Miake,1964-07-26,1997-12-19,9999-01-01,Engineer
13154,Shan,Soicher,1963-06-19,1988-07-29,9999-01-01,Senior Staff
13162,Shaw,Goodrum,1964-12-26,1989-05-19,9999-01-01,Senior Staff
13163,Matt,Heping,1963-12-11,1987-03-31,9999-01-01,Engineer
13190,Stepehn,Kowalchuk,1962-11-08,1986-07-17,9999-01-01,Senior Staff
13195,Toshiki,Baak,1964-06-29,1986-03-02,9999-01-01,Engineer
13217,Taiji,Lamparter,1963-07-08,1994-12-16,9999-01-01,Staff
13219,Wojceich,Constantine,1964-11-10,1988-06-22,9999-01-01,Technique Leader
13226,Saeko,Solares,1962-06-26,2001-06-24,9999-01-01,Engineer
13244,Khosrow,Yoshizawa,1964-10-27,1996-09-02,9999-01-01,Staff
13257,Francoise,Poehlman,1963-06-13,1986-07-12,9999-01-01,Senior Staff
13274,Valery,Anguita,1964-06-11,1998-04-24,9999-01-01,Assistant Engineer
13280,Gunilla,Cappelletti,1963-05-31,1985-03-30,9999-01-01,Senior Staff
13283,Unal,Liedekerke,1962-02-15,2000-12-19,9999-01-01,Senior Engineer
13289,Berni,Baer,1962-08-12,1987-09-24,9999-01-01,Staff
13317,Iara,Magliocco,1964-04-29,1999-10-02,9999-01-01,Engineer
13338,Tonny,Gecsel,1963-08-19,1985-08-16,9999-01-01,Engineer
13348,Leaf,Wiegley,1964-04-25,1989-08-06,9999-01-01,Senior Staff
13367,Xumin,Swiler,1962-07-14,1987-08-30,9999-01-01,Senior Staff
13382,Makato,Domenig,1964-10-31,1994-12-25,9999-01-01,Engineer
13391,Jaroslava,Orsini,1963-06-15,1993-10-16,9999-01-01,Senior Staff
13397,Nimmagadda,Wilfing,1964-05-13,1987-06-25,9999-01-01,Staff
13399,Ute,Gischer,1962-04-10,1990-04-23,9999-01-01,Senior Engineer
13400,Shaw,Frezza,1963-03-09,1995-05-31,9999-01-01,Engineer
13448,Tran,Fiutem,1963-06-01,1999-12-28,9999-01-01,Staff
13459,Eric,Lupu,1962-04-29,1988-05-20,9999-01-01,Staff
13483,Arco,Ananiadou,1964-04-20,1990-01-09,9999-01-01,Senior Engineer
13484,Kristina,Setlzner,1964-09-05,1993-01-01,9999-01-01,Senior Staff
13485,Isamu,Perly,1963-08-02,1999-07-22,9999-01-01,Engineer
13487,Geoffrey,Claffy,1962-08-30,1987-03-08,9999-01-01,Senior Staff
13489,Fumino,Itschner,1963-06-03,1999-03-09,9999-01-01,Senior Staff
13494,Domenico,Baca,1964-04-07,1985-10-07,9999-01-01,Senior Engineer
13499,Kazuhiko,Sidou,1965-01-16,1991-09-01,9999-01-01,Technique Leader
13555,Lijia,Matteis,1964-08-20,1988-11-07,9999-01-01,Senior Staff
13558,Raimond,Molberg,1964-10-13,1987-06-10,9999-01-01,Senior Staff
13561,Fai,Thebaut,1962-04-30,1985-07-05,9999-01-01,Senior Engineer
13563,Valter,Pashtan,1963-03-11,1987-04-17,9999-01-01,Engineer
13570,Kiyomitsu,Perez,1963-06-05,1986-03-15,9999-01-01,Senior Staff
13572,Honglan,Beutelspacher,1964-03-13,1986-09-15,9999-01-01,Senior Staff
13579,Basem,Passino,1963-10-13,1987-03-12,9999-01-01,Senior Engineer
13590,Sashi,Showalter,1963-02-04,1986-03-14,9999-01-01,Senior Engineer
13595,Feipei,Usery,1963-02-08,1991-03-07,9999-01-01,Senior Staff
13599,Gor,Versino,1964-09-24,1992-11-12,9999-01-01,Staff
13614,Toshimo,Assaf,1962-04-30,1992-01-30,9999-01-01,Staff
13615,Sugwoo,Marrevee,1962-07-12,1986-07-14,9999-01-01,Senior Staff
13631,Dante,Krider,1962-06-15,1991-08-16,9999-01-01,Engineer
13637,Zhigen,Cesareni,1962-07-12,1997-12-31,9999-01-01,Engineer
13644,Shmuel,Spataro,1964-02-25,2001-04-25,9999-01-01,Engineer
13646,Karlis,Chinen,1962-03-16,1999-09-03,9999-01-01,Senior Engineer
13656,Oldrich,Ferretti,1964-08-19,1995-07-17,9999-01-01,Senior Staff
13658,Adamantios,Goodrum,1963-06-11,1998-07-06,9999-01-01,Engineer
13669,Hidde,Peng,1964-11-19,1998-11-05,9999-01-01,Assistant Engineer
13692,Yongdong,Kisuki,1962-05-26,1996-08-27,9999-01-01,Staff
13699,Zhiguo,Kamber,1962-12-10,1999-11-24,9999-01-01,Senior Engineer
13702,Moie,Mamelak,1962-12-05,1995-08-10,9999-01-01,Engineer
13712,Olivera,Docker,1963-04-08,1987-12-06,9999-01-01,Senior Staff
13715,Licheng,Range,1963-10-11,1993-10-09,9999-01-01,Senior Staff
13718,Lein,Gronowski,1963-03-15,1986-11-22,9999-01-01,Senior Staff
13720,Rildo,Braccini,1964-07-13,1989-03-01,9999-01-01,Senior Staff
13728,Insup,Swab,1964-05-23,1986-01-03,9999-01-01,Senior Engineer
13729,Shahab,Farrel,1964-07-30,1988-10-12,9999-01-01,Engineer
13751,Sasan,Litzkow,1963-02-10,1997-01-13,9999-01-01,Staff
13757,Soenke,Demir,1963-07-13,1986-02-22,9999-01-01,Engineer
13765,Raimond,Mitzlaff,1964-07-27,1990-07-18,9999-01-01,Staff
13774,Ramzi,Barbanera,1962-04-14,1996-10-04,9999-01-01,Senior Staff
13789,Ramalingam,Ranst,1963-08-12,1989-04-17,9999-01-01,Engineer
13806,Abdelwaheb,Nitsch,1964-02-09,1990-02-05,9999-01-01,Senior Engineer
13808,Becky,Stentiford,1963-03-17,1986-03-08,9999-01-01,Senior Staff
13827,Subbu,Castellani,1962-05-09,1989-04-08,9999-01-01,Staff
13850,Hyuckchul,Kroft,1963-12-20,2001-06-04,9999-01-01,Technique Leader
13860,Wojceich,Papastamatiou,1964-09-18,1988-07-27,9999-01-01,Senior Staff
13876,Fatemeh,Swan,1964-09-05,1995-05-03,9999-01-01,Senior Staff
13880,Bedrich,Mandell,1963-08-25,1999-12-20,9999-01-01,Senior Staff
13887,Abdulla,Heydon,1963-09-27,1990-06-17,9999-01-01,Technique Leader
13890,Marin,Antonisse,1963-05-01,1985-11-30,9999-01-01,Staff
13908,Nechama,Koprowski,1964-12-21,1987-11-26,9999-01-01,Senior Engineer
13912,Niclas,Blokdijk,1963-02-20,1988-12-07,9999-01-01,Engineer
13939,Reinhold,Cherinka,1963-07-25,1992-10-30,9999-01-01,Staff
13961,Munir,Hempstead,1964-06-22,1988-10-01,9999-01-01,Senior Engineer
14010,Sushant,Preusig,1963-12-21,1990-03-08,9999-01-01,Senior Staff
14036,Bogdan,Schaad,1962-03-20,1987-10-07,9999-01-01,Staff
14043,Manohar,Dulin,1964-06-25,1993-01-21,9999-01-01,Technique Leader
14044,Muneo,Peltason,1963-05-09,1988-04-04,9999-01-01,Senior Engineer
14057,Boriana,Beidas,1962-05-16,1985-03-24,9999-01-01,Engineer
14062,Khalid,Luon,1964-12-16,2000-11-13,9999-01-01,Engineer
